gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,TotalCharges,avg_monthly_spend,has_support,actual_churn,churn_probability,churn_predicted
0,0,0,0,1,1,0,1,0,2,2,2,2,0,1,2,1,61.4,55.2,55.2,1,0,0.5463471157919715,1
1,0,0,0,1,0,2,1,0,0,1,1,2,0,1,2,2,44.11,90.36,45.18,0,0,0.535975911055134,1
0,1,0,0,1,2,0,2,0,0,2,2,2,0,0,1,1,84.01,78.99,78.99,2,1,0.5124513695997258,1
1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,2,48.98,90.48,45.24,0,0,0.49194249905356746,0
0,0,1,0,1,0,0,2,1,2,2,2,0,0,1,2,5,42.29,217.22,43.444,2,0,0.4880739807161292,0
1,0,0,0,1,0,1,2,0,2,1,0,2,0,1,1,6,94.62,565.61,94.26833333333333,1,1,0.4877885005419146,0
0,0,1,0,1,0,1,2,2,1,1,2,1,0,1,2,1,27.65,38.14,38.14,2,0,0.4832047644582238,0
0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,1,64.09,68.03,68.03,0,1,0.48120718130397744,0
0,0,0,0,1,1,0,2,2,0,1,0,1,0,1,0,3,53.26,171.53,57.17666666666667,2,0,0.47817339232631967,0
1,1,0,0,1,2,1,1,0,2,0,0,1,0,1,0,4,63.26,258.26,64.565,0,1,0.4764649735479652,0
1,0,0,0,1,0,1,1,0,2,0,0,0,0,1,1,3,84.23,248.04,82.67999999999999,0,1,0.47538492835425694,0
0,0,1,0,1,0,1,2,1,2,0,0,0,0,1,1,1,59.25,46.28,46.28,1,1,0.47530222917848086,0
1,0,0,1,1,2,0,2,0,2,1,1,0,0,1,3,3,59.66,174.25,58.083333333333336,1,0,0.4749356958057764,0
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,9,50.43,430.95,47.88333333333333,0,1,0.4729500062595456,0
1,0,0,0,1,2,0,2,1,2,2,1,2,0,0,3,5,87.02,431.08,86.216,2,1,0.4726104284520913,0
1,0,1,0,1,0,2,2,0,2,0,2,2,0,1,3,5,50.56,257.26,51.452,1,0,0.4706917608794675,0
0,0,1,0,1,0,2,2,0,0,2,0,0,0,1,1,8,20.27,158.53,19.81625,2,0,0.4699697312254637,0
1,0,0,0,1,0,0,0,2,2,2,0,2,0,1,2,1,98.14,101.17,101.17,2,0,0.46878770027421246,0
1,0,0,0,1,1,1,0,0,1,0,1,2,0,0,3,6,19.27,127.54,21.256666666666668,0,1,0.46613746262844347,0
1,0,0,1,1,0,1,2,1,2,1,2,0,0,1,3,6,53.56,325.41,54.23500000000001,1,0,0.4641286713812721,0
1,0,1,1,1,0,0,2,0,0,0,2,0,0,1,3,2,41.52,69.06,34.53,1,0,0.4630947583549854,0
1,0,0,0,0,0,0,0,2,2,2,0,2,0,1,0,4,37.86,148.84,37.21,2,1,0.4621138973660456,0
0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,4,57.73,239.3,59.825,0,1,0.46073168646718243,0
0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,16,49.23,800.12,50.0075,0,1,0.4606016142636899,0
1,0,0,1,1,2,1,0,1,0,2,2,2,0,0,3,2,23.72,54.22,27.11,1,0,0.4593707412734043,0
0,0,0,1,1,1,1,2,1,2,1,1,2,0,1,3,8,91.21,726.51,90.81375,1,0,0.4583323625011715,0
1,0,1,0,1,0,1,0,1,1,1,2,2,0,1,3,7,93.21,674.3,96.32857142857142,0,0,0.4580334069308028,0
1,0,1,0,1,2,1,2,0,0,1,0,1,0,1,2,4,117.22,456.62,114.155,1,0,0.45782604518279263,0
1,0,1,0,0,0,0,2,0,2,1,2,1,0,1,2,8,98.17,801.73,100.21625,1,0,0.45751890113332666,0
1,0,1,1,0,2,0,2,0,0,1,2,1,0,1,0,1,44.52,39.45,39.45,1,1,0.4573612694455936,0
1,1,1,0,1,0,1,1,2,0,2,2,2,0,0,3,6,52.54,316.05,52.675000000000004,2,0,0.45717191980260236,0
0,0,1,0,1,2,2,2,1,2,0,2,2,0,0,2,2,22.06,46.59,23.295,1,0,0.4566934183842305,0
1,0,1,0,1,0,1,1,1,2,1,0,0,0,1,0,7,48.54,336.21,48.029999999999994,0,1,0.4561948882802258,0
1,0,0,1,1,0,0,1,2,0,0,1,2,0,1,3,2,83.04,155.3,77.65,1,1,0.4547084347225926,0
0,0,0,0,1,0,0,1,2,0,0,0,2,0,1,0,6,82.46,486.96,81.16,1,1,0.45469701452582134,0
0,0,0,1,1,0,1,0,1,2,0,1,1,0,1,3,5,45.01,212.95,42.589999999999996,0,1,0.45398405369544065,0
0,0,1,0,1,0,2,1,1,2,2,1,1,0,0,3,5,90.16,466.31,93.262,1,1,0.4538288283699631,0
1,0,1,0,1,0,0,1,2,1,2,0,2,0,0,3,2,80.85,173.69,86.845,2,0,0.45284387924553887,0
0,0,0,0,1,0,0,2,2,1,0,1,0,0,1,2,9,22.03,192.96,21.44,2,0,0.45277208849123374,0
0,0,0,0,1,2,2,2,0,1,2,1,0,0,1,3,12,78.17,939.22,78.26833333333333,2,1,0.4525275473611573,0
1,0,0,0,1,2,2,1,0,0,0,2,1,0,1,3,11,60.92,668.72,60.79272727272728,0,1,0.4523419703269505,0
1,1,1,0,0,0,1,0,0,0,2,2,2,0,0,1,7,52.67,363.56,51.93714285714286,1,0,0.45163633959102856,0
0,0,0,0,1,0,1,0,0,1,2,1,2,0,1,3,15,106.07,1592.37,106.15799999999999,1,0,0.4514321966177228,0
0,0,0,0,0,1,1,0,2,0,2,2,2,0,0,3,2,86.93,183.04,91.52,2,0,0.45039276078264145,0
1,0,1,0,1,0,0,1,0,0,1,1,2,0,1,3,21,21.91,473.07,22.527142857142856,0,0,0.45009035343360143,0
0,0,1,0,1,2,1,2,2,0,0,0,2,0,1,2,1,68.22,65.63,65.63,2,1,0.44827079643966194,0
1,1,1,0,1,2,0,1,0,1,0,0,0,0,1,0,3,102.18,297.13,99.04333333333334,0,1,0.4480596249535764,0
0,0,0,0,1,0,1,0,0,2,2,0,1,0,1,2,12,107.65,1289.46,107.455,1,0,0.44738364137958186,0
