customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,No,49,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,100.98,4950.99,No
CUST-00001,Male,0,No,Yes,61,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Two year,No,Credit card (automatic),26.18,1606.04,No
CUST-00002,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,No,Yes,No,No internet service,No,One year,No,Credit card (automatic),49.97,2396.73,No
CUST-00003,Female,0,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),115.6,1509.5,No
CUST-00004,Female,0,No,No,0,Yes,Yes,No,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,33.46, ,Yes
CUST-00005,Female,0,No,No,24,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),93.0,2228.54,Yes
CUST-00006,Male,0,No,Yes,58,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.0,3122.68,No
CUST-00007,Female,0,No,Yes,71,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,76.76,5467.08,No
CUST-00008,Male,0,No,Yes,68,Yes,No,DSL,No,Yes,No,No internet service,No internet service,No,One year,No,Credit card (automatic),28.05,1902.56,No
CUST-00009,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,One year,Yes,Electronic check,48.95,187.79,No
CUST-00010,Female,0,No,No,18,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,68.59,1224.17,No
CUST-00011,Male,0,No,No,22,Yes,No,No,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),41.4,911.65,No
CUST-00012,Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,72.73,571.67,No
CUST-00013,Female,0,No,No,49,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,40.2,1962.67,No
CUST-00014,Female,0,Yes,No,15,Yes,No phone service,No,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),83.66,1262.89,No
CUST-00015,Male,0,Yes,No,32,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,109.34,3503.37,No
CUST-00016,Female,0,No,No,1,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),26.63,13.18,No
CUST-00017,Male,1,No,No,13,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,39.88,525.69,No
CUST-00018,Male,0,Yes,No,0,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),103.29, ,Yes
CUST-00019,Female,0,No,Yes,57,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,81.79,4673.4,No
CUST-00020,Female,0,No,No,15,Yes,No phone service,No,No internet service,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),25.95,403.43,No
CUST-00021,Male,1,No,No,46,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,67.12,3071.43,No
CUST-00022,Male,0,Yes,No,43,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),39.19,1692.82,No
CUST-00023,Male,0,Yes,No,13,Yes,No,DSL,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Mailed check,38.11,511.78,No
CUST-00024,Male,0,Yes,No,23,No,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),113.01,2601.33,Yes
CUST-00025,Male,0,Yes,Yes,54,Yes,Yes,No,No internet service,No,Yes,No,Yes,No,One year,Yes,Mailed check,94.92,5132.56,No
CUST-00026,Male,0,No,No,14,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),88.32,1238.73,Yes
CUST-00027,Female,0,Yes,Yes,71,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),42.13,3001.02,Yes
CUST-00028,Female,0,No,Yes,33,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,29.98,993.17,No
CUST-00029,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),105.95,85.73,Yes
CUST-00030,Female,1,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,One year,Yes,Electronic check,18.59,482.13,No
CUST-00031,Male,0,No,No,71,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,57.2,4059.34,No
CUST-00032,Male,0,No,No,22,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),46.04,1020.02,No
CUST-00033,Male,1,Yes,No,67,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No,Two year,Yes,Mailed check,75.61,5077.64,No
CUST-00034,Female,1,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,43.3,560.62,No
CUST-00035,Female,1,No,No,62,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),49.43,3052.41,No
CUST-00036,Male,0,Yes,No,64,Yes,No,DSL,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),103.85,6649.46,No
CUST-00037,Male,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,78.92,5279.88,No
CUST-00038,Female,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,32.71,2021.96,No
CUST-00039,Female,1,Yes,No,63,Yes,Yes,DSL,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),91.37,5780.13,Yes
CUST-00040,Male,0,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,38.95,1200.67,No
CUST-00041,Male,0,No,No,12,No,Yes,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,61.73,725.11,Yes
CUST-00042,Female,0,Yes,No,65,Yes,No,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,83.31,5421.19,Yes
CUST-00043,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),45.46,825.35,No
CUST-00044,Male,1,No,No,23,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),56.79,1314.96,No
CUST-00045,Male,0,No,Yes,10,No,No,DSL,No,No,No,No internet service,Yes,No internet service,One year,No,Credit card (automatic),92.15,929.9,No
CUST-00046,Male,0,Yes,No,58,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,112.73,6539.8,Yes
CUST-00047,Male,1,No,No,14,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),71.45,1001.86,Yes
CUST-00048,Male,0,Yes,Yes,9,Yes,Yes,No,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,19.01,180.49,No
CUST-00049,Male,1,Yes,No,40,Yes,No,DSL,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,52.18,2103.29,No
CUST-00050,Female,0,No,No,26,Yes,Yes,No,No,No,No internet service,Yes,Yes,No,Two year,No,Electronic check,58.26,1502.15,No
CUST-00051,Female,0,No,Yes,59,No,No,DSL,No,No internet service,No,No,No,No,One year,Yes,Mailed check,52.26,3077.26,No
CUST-00052,Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),62.06,4474.6,No
CUST-00053,Male,0,Yes,No,51,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),81.9,4179.45,No
CUST-00054,Male,0,Yes,Yes,27,Yes,No,No,Yes,Yes,No internet service,No,No,Yes,One year,No,Electronic check,30.23,798.3,No
CUST-00055,Female,1,Yes,No,64,Yes,Yes,DSL,No,Yes,Yes,No,No,No internet service,Two year,No,Mailed check,45.54,2908.83,No
CUST-00056,Female,0,No,No,16,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),69.27,1111.35,No
CUST-00057,Male,0,No,Yes,43,Yes,Yes,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,49.87,2144.54,No
CUST-00058,Female,1,No,Yes,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),118.1,1059.31,No
CUST-00059,Female,0,No,No,62,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),61.57,3840.78,No
CUST-00060,Male,0,Yes,No,46,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,105.85,4868.85,Yes
CUST-00061,Female,0,Yes,No,37,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.55,4018.66,No
CUST-00062,Female,0,No,Yes,69,Yes,No,No,No,No internet service,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),102.44,7069.69,No
CUST-00063,Female,0,Yes,No,52,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,22.74,1184.6,No
